Date,Margin,Short
2020-04-08,5533088.0,540984.0
2020-04-09,5561841.0,539382.0
2020-04-10,5571880.0,542711.0
2020-04-13,5669300.0,523196.0
2020-04-14,5684309.0,575877.0
2020-04-15,5697570.0,607233.0
2020-04-16,5736954.0,655071.0
2020-04-17,5716924.0,683304.0
2020-04-20,5764354.0,718396.0
2020-04-21,5779304.0,746026.0
2020-04-22,5777925.0,769551.0
2020-04-23,5821444.0,798452.0
2020-04-24,5863626.0,819820.0
2020-04-27,5876408.0,818104.0
2020-04-28,5849265.0,812913.0
2020-04-29,5881957.0,825729.0
2020-04-30,5849345.0,831603.0
2020-05-04,5905121.0,846683.0
2020-05-05,5982286.0,866629.0
2020-05-06,5988321.0,886835.0
2020-05-07,6014904.0,894104.0
2020-05-08,6030831.0,897604.0
2020-05-11,6050278.0,899999.0
2020-05-12,6081401.0,897763.0
2020-05-13,6054765.0,897840.0
2020-05-14,6017808.0,903554.0
2020-05-15,6032193.0,901226.0
2020-05-18,6063915.0,891330.0
2020-05-19,6073089.0,879472.0
2020-05-20,6093169.0,884298.0
2020-05-21,6128545.0,881466.0
2020-05-22,6153236.0,876283.0
2020-05-25,6171800.0,867958.0
2020-05-26,6177756.0,871497.0
2020-05-27,6196625.0,869277.0
2020-05-28,6200073.0,861653.0
2020-05-29,6194104.0,862445.0
2020-06-01,6178985.0,868290.0
2020-06-02,6161482.0,868026.0
2020-06-03,6225452.0,872902.0
2020-06-04,6247566.0,864948.0
2020-06-05,6256061.0,870171.0
2020-06-08,6260800.0,866257.0
2020-06-09,6231860.0,866373.0
2020-06-10,6240572.0,879535.0
2020-06-11,6237141.0,878767.0
2020-06-12,6136351.0,869222.0
2020-06-15,6134820.0,854180.0
2020-06-16,6178050.0,824763.0
2020-06-17,6236133.0,833907.0
2020-06-18,6276781.0,846703.0
2020-06-19,6323315.0,826817.0
2020-06-22,6314991.0,818614.0
2020-06-23,6345329.0,799000.0
2020-06-24,6346141.0,785623.0
2020-06-29,6331602.0,781536.0
2020-06-30,6371287.0,773350.0
2020-07-01,6383582.0,776151.0
2020-07-02,6450052.0,789964.0
2020-07-03,6484863.0,810643.0
2020-07-06,6491838.0,804530.0
2020-07-07,6528897.0,781698.0
2020-07-08,6601174.0,747814.0
2020-07-09,6629180.0,725122.0
2020-07-10,6625473.0,721405.0
2020-07-13,6705999.0,724293.0
2020-07-14,6680576.0,725987.0
2020-07-15,6697419.0,718250.0
2020-07-16,6768431.0,722561.0
2020-07-17,6753745.0,722904.0
2020-07-20,6767390.0,758182.0
2020-07-21,6796615.0,759028.0
2020-07-22,6840599.0,763813.0
2020-07-23,6892821.0,758255.0
