Date,Adv,Dec,NH,NL
2025-12-10,1389.0,480.0,,
2025-12-11,1316.0,552.0,,
2025-12-12,698.0,1169.0,,
2025-12-15,859.0,1000.0,,
2025-12-16,623.0,1236.0,,
2025-12-17,920.0,944.0,,
2025-12-18,1068.0,796.0,,
2025-12-19,952.0,914.0,,
2025-12-22,1234.0,618.0,,
2025-12-23,765.0,1078.0,,
2025-12-24,1265.0,568.0,,
2025-12-26,919.0,905.0,,
2025-12-29,695.0,1151.0,,
2025-12-30,736.0,1120.0,,
2025-12-31,334.0,1513.0,,
2026-01-01,,,75.0,47.0
2026-01-02,1226.0,632.0,,
2026-01-05,1334.0,531.0,,
2026-01-06,1280.0,576.0,,
2026-01-07,519.0,1337.0,,
2026-01-08,1418.0,451.0,,
2026-01-09,1073.0,789.0,,
2026-01-12,1049.0,799.0,,
2026-01-13,887.0,975.0,,
2026-01-14,1210.0,645.0,,
2026-01-15,1239.0,610.0,,
2026-01-16,804.0,1048.0,,
2026-01-20,429.0,1434.0,,
2026-01-21,1501.0,357.0,,
2026-01-22,1089.0,767.0,,
2026-01-23,605.0,1249.0,,
2026-01-26,910.0,943.0,,
2026-01-27,970.0,875.0,,
2026-01-28,636.0,1215.0,,
2026-01-29,1170.0,683.0,,
2026-01-30,695.0,1154.0,75.0,47.0
2026-02-02,1106.0,740.0,131.0,54.0
2026-02-03,1090.0,763.0,240.0,100.0
2026-02-04,1208.0,647.0,280.0,78.0
2026-02-05,597.0,1267.0,146.0,74.0
2026-02-06,1554.0,305.0,290.0,40.0
2026-02-09,997.0,854.0,230.0,51.0
2026-02-10,1096.0,740.0,217.0,27.0
2026-02-11,932.0,921.0,330.0,64.0
2026-02-12,477.0,1380.0,298.0,110.0
2026-02-13,1324.0,529.0,135.0,38.0
2026-02-17,843.0,998.0,144.0,46.0
2026-02-18,1084.0,766.0,128.0,26.0
2026-02-19,928.0,918.0,98.0,31.0
2026-02-20,1155.0,702.0,134.0,40.0
2026-02-23,474.0,1403.0,128.0,90.0
2026-02-24,1273.0,578.0,135.0,70.0
2026-02-25,,823.0,,50.0
